Ensembl Gene ID	Transcript length (including UTRs and CDS)	Associated Gene Name
ENSGALG00000011452	1444	ARPC2
ENSGALG00000028553	110	gga-mir-6704
ENSGALG00000009678	2460	KCTD3
ENSGALG00000010863	1061	TWISTNB
ENSGALG00000033094	888	
ENSGALG00000025286	85	gga-mir-1750
ENSGALG00000004221	1779	
ENSGALG00000015880	854	HMGN3
ENSGALG00000015450	675	RAB2A
ENSGALG00000010853	1755	C8B
ENSGALG00000010853	1743	C8B
ENSGALG00000010853	1731	C8B
ENSGALG00000010853	1695	C8B
ENSGALG00000027468	110	gga-mir-6682
ENSGALG00000001440	1278	ACTL9
ENSGALG00000032955	1176	TUFT1
ENSGALG00000032955	1128	TUFT1
ENSGALG00000032955	1167	TUFT1
ENSGALG00000010865	1507	TMEM196
ENSGALG00000011633	1824	SLC5A8
ENSGALG00000033744	67	gga-mir-7469
ENSGALG00000007337	2949	LPP
ENSGALG00000008231	1742	PACSIN3
ENSGALG00000008231	1819	PACSIN3
ENSGALG00000008231	1494	PACSIN3
ENSGALG00000029166	1060	UBTD1
ENSGALG00000026534	2082	
ENSGALG00000025534	96	gga-mir-1728
ENSGALG00000004231	1704	IFNLR1
ENSGALG00000041181	1983	
ENSGALG00000010119	2503	CDKL2
ENSGALG00000010119	2589	CDKL2
ENSGALG00000010119	2580	CDKL2
ENSGALG00000000806	1620	
ENSGALG00000025475	97	gga-mir-1586
ENSGALG00000036627	1499	CXCR1
ENSGALG00000010868	2562	MACC1
ENSGALG00000002162	3382	ACO1
ENSGALG00000002162	2928	ACO1
ENSGALG00000027088	105	
ENSGALG00000009687	1245	KCNK2
ENSGALG00000039239	1467	SERPIND1
ENSGALG00000006099	7833	ZFPM1
ENSGALG00000042736	105	
ENSGALG00000016902	1410	GPC5
ENSGALG00000016902	1662	GPC5
ENSGALG00000016902	1773	GPC5
ENSGALG00000016902	1731	GPC5
ENSGALG00000016902	1937	GPC5
ENSGALG00000016902	1710	GPC5
ENSGALG00000016902	1653	GPC5
ENSGALG00000016902	1461	GPC5
ENSGALG00000016902	1362	GPC5
ENSGALG00000009234	761	
ENSGALG00000028825	110	gga-mir-6668
ENSGALG00000037995	7631	STRIP1
ENSGALG00000041080	9990	CHD7
ENSGALG00000029718	1686	
ENSGALG00000025429	97	gga-mir-1628
ENSGALG00000007357	2619	BCL6
ENSGALG00000032247	3526	ATP1A1
ENSGALG00000032247	3060	ATP1A1
ENSGALG00000032247	3075	ATP1A1
ENSGALG00000000812	1026	OAZ1
ENSGALG00000000812	633	OAZ1
ENSGALG00000021773	65	gga-mir-302c
ENSGALG00000015889	5472	PHIP
ENSGALG00000015889	1569	PHIP
ENSGALG00000009229	1305	ATP6V0C
ENSGALG00000004249	1806	GRHL3
ENSGALG00000004249	1904	GRHL3
ENSGALG00000026945	901	CIDEC
ENSGALG00000010875	2767	ITGB8
ENSGALG00000010875	2838	ITGB8
ENSGALG00000042586	87	
ENSGALG00000007572	3204	MMS19
ENSGALG00000007572	3737	MMS19
ENSGALG00000032953	83	
ENSGALG00000011643	8406	UTP20
ENSGALG00000007361	733	SST
ENSGALG00000028256	1810	CCL19
ENSGALG00000002183	906	PRR16
ENSGALG00000025867	702	ALX3
ENSGALG00000009690	9169	CENPF
ENSGALG00000036739	1425	UBE2L3
ENSGALG00000036739	2368	UBE2L3
ENSGALG00000036739	462	UBE2L3
ENSGALG00000040687	1766	SNX27
ENSGALG00000040687	1886	SNX27
ENSGALG00000036346	2824	AMH
ENSGALG00000006118	1878	
ENSGALG00000001900	1207	PHF24
ENSGALG00000009217	2217	TBC1D24
ENSGALG00000009217	1950	TBC1D24
ENSGALG00000043172	2376	
ENSGALG00000030005	1651	IGSF1
ENSGALG00000030005	1317	IGSF1
ENSGALG00000043485	630	
ENSGALG00000039324	1473	
ENSGALG00000008247	2432	ARFGAP2
ENSGALG00000008247	1623	ARFGAP2
ENSGALG00000007419	3600	MASP1
ENSGALG00000007419	1681	MASP1
ENSGALG00000030923	999	
ENSGALG00000001918	1149	DNAJB5
ENSGALG00000001918	1186	DNAJB5
ENSGALG00000009784	3297	PTPN14
ENSGALG00000004268	1798	NIPAL3
ENSGALG00000004268	1712	NIPAL3
ENSGALG00000021679	1127	SF3A2
ENSGALG00000021679	906	SF3A2
ENSGALG00000026361	2826	SLITRK5
ENSGALG00000033416	1975	HIC2
ENSGALG00000033416	2053	HIC2
ENSGALG00000015892	854	IRAK1BP1
ENSGALG00000002187	2546	HSD17B4
ENSGALG00000002187	2178	HSD17B4
ENSGALG00000041013	5371	TNS1
ENSGALG00000041013	6198	TNS1
ENSGALG00000041013	6105	TNS1
ENSGALG00000028465	528	IL17C
ENSGALG00000028478	1380	
ENSGALG00000015006	1164	MAB21L3
ENSGALG00000015006	1047	MAB21L3
ENSGALG00000029072	2825	NTN3
ENSGALG00000029072	1821	NTN3
ENSGALG00000041938	1032	MEI4
ENSGALG00000030710	2532	L3MBTL1
ENSGALG00000029367	552	CYBA
ENSGALG00000007592	1520	ZDHHC16
ENSGALG00000007592	1080	ZDHHC16
ENSGALG00000027722	810	
ENSGALG00000000835	2629	PLEKHJ1
ENSGALG00000004282	2856	RCAN3
ENSGALG00000016904	2508	
ENSGALG00000015895	1166	HTR1B
ENSGALG00000039817	624	NOG2
ENSGALG00000042941	853	MRPL9
ENSGALG00000011651	1583	ARL1
ENSGALG00000015016	1641	SLC22A15
ENSGALG00000030112	2463	
ENSGALG00000030112	4980	
ENSGALG00000030112	4935	
ENSGALG00000021931	205	SNORA73
ENSGALG00000010901	3982	
ENSGALG00000010901	2674	
ENSGALG00000010901	2472	
ENSGALG00000033932	1439	BF1
ENSGALG00000033932	1244	BF1
ENSGALG00000033932	1041	BF1
ENSGALG00000033932	1065	BF1
ENSGALG00000033932	1053	BF1
ENSGALG00000007474	1429	PCYT1A
ENSGALG00000024933	117	5S_rRNA
ENSGALG00000039917	569	EXOSC1
ENSGALG00000025602	129	SNORA44
ENSGALG00000015897	4918	IMPG1
ENSGALG00000033432	1289	NHLH2
ENSGALG00000009788	1801	SMYD2
ENSGALG00000009788	1581	SMYD2
ENSGALG00000017846	133	SNORA55
ENSGALG00000016905	2079	SLITRK1
ENSGALG00000000990	2372	SRSF6
ENSGALG00000000990	1062	SRSF6
ENSGALG00000027761	1992	TNFAIP8
ENSGALG00000027761	1888	TNFAIP8
ENSGALG00000027761	1890	TNFAIP8
ENSGALG00000007478	1285	SLC51A
ENSGALG00000007267	1263	MVD
ENSGALG00000007267	1466	MVD
ENSGALG00000017848	131	SNORA55
ENSGALG00000009205	3708	
ENSGALG00000001986	2919	VCP
ENSGALG00000001986	1552	VCP
ENSGALG00000001986	2409	VCP
ENSGALG00000007606	1685	PGAM1
ENSGALG00000031812	2286	TDRKH
ENSGALG00000031812	2239	TDRKH
ENSGALG00000031812	2032	TDRKH
ENSGALG00000016906	942	SPRY2
ENSGALG00000010857	3288	Dab1
ENSGALG00000010857	1626	Dab1
ENSGALG00000010857	1608	Dab1
ENSGALG00000015018	2055	CASQ2
ENSGALG00000029198	927	YDJC
ENSGALG00000029198	903	YDJC
ENSGALG00000008255	1202	C11orf49
ENSGALG00000008255	2189	C11orf49
ENSGALG00000008255	1531	C11orf49
ENSGALG00000016909	4730	NDFIP2
ENSGALG00000002227	6297	DMXL1
ENSGALG00000011468	810	IGFBP5
ENSGALG00000034899	2908	
ENSGALG00000007272	3917	RNF166
ENSGALG00000015025	1569	VANGL1
ENSGALG00000023440	2860	GABPB1
ENSGALG00000023440	2141	GABPB1
ENSGALG00000038715	372	
ENSGALG00000011662	7779	
ENSGALG00000011662	7866	
ENSGALG00000011469	2117	IGFBP2
ENSGALG00000031130	1320	GGH
ENSGALG00000000843	5121	DOT1L
ENSGALG00000000843	4590	DOT1L
ENSGALG00000000843	5614	DOT1L
ENSGALG00000000843	4662	DOT1L
ENSGALG00000035725	2857	SP8
ENSGALG00000007485	6616	TFRC
ENSGALG00000007485	6735	TFRC
ENSGALG00000007485	2271	TFRC
ENSGALG00000033941	1497	RORC
ENSGALG00000009791	3324	PROX1
ENSGALG00000009791	2532	PROX1
ENSGALG00000009791	2337	PROX1
ENSGALG00000038502	2253	CCNF
ENSGALG00000015038	1538	
ENSGALG00000011472	402	RPL37A
ENSGALG00000016910	6063	RBM26
ENSGALG00000016910	5934	RBM26
ENSGALG00000002250	4173	DTWD2
ENSGALG00000030031	834	TTPA
ENSGALG00000010861	1834	OMA1
ENSGALG00000002009	2400	FANCG
ENSGALG00000026039	471	
ENSGALG00000039454	3902	SP4
ENSGALG00000039454	4083	SP4
ENSGALG00000043725	7476	PIEZO1
ENSGALG00000009796	2130	RPS6KC1
ENSGALG00000035029	1094	
ENSGALG00000032181	5673	LRP4
ENSGALG00000023436	2095	HDC
ENSGALG00000023436	2004	HDC
ENSGALG00000039774	3064	YTHDF3
ENSGALG00000039774	1767	YTHDF3
ENSGALG00000010867	928	TACSTD2
ENSGALG00000011475	1728	
ENSGALG00000028774	239	S100A10
ENSGALG00000028774	441	S100A10
ENSGALG00000031982	1485	SDF2L1
ENSGALG00000001792	1115	
ENSGALG00000002023	8263	
ENSGALG00000035978	2223	CDCA7L
ENSGALG00000040029	630	
ENSGALG00000041331	7028	RRP12
ENSGALG00000041331	6816	RRP12
ENSGALG00000041331	3675	RRP12
ENSGALG00000035594	5825	MYH7
ENSGALG00000035594	5757	MYH7
ENSGALG00000016911	2230	RNF219
ENSGALG00000016911	455	RNF219
ENSGALG00000040249	2061	BHLHE22
ENSGALG00000010869	2499	MYSM1
ENSGALG00000027983	3441	TNK2
ENSGALG00000027983	252	TNK2
ENSGALG00000009802	2187	ANGEL2
ENSGALG00000009802	1659	ANGEL2
ENSGALG00000023435	2125	GATM
ENSGALG00000030051	2738	TOP3B
ENSGALG00000001392	1212	MMP23B
ENSGALG00000001392	1203	MMP23B
ENSGALG00000001392	1188	MMP23B
ENSGALG00000001392	1185	MMP23B
ENSGALG00000001392	1173	MMP23B
ENSGALG00000034171	7385	EPB41L1
ENSGALG00000034171	6986	EPB41L1
ENSGALG00000034171	2778	EPB41L1
ENSGALG00000034171	2565	EPB41L1
ENSGALG00000034171	1965	EPB41L1
ENSGALG00000002064	1226	
ENSGALG00000029435	1722	CYP7B1
ENSGALG00000043129	999	DEDD
ENSGALG00000043129	948	DEDD
ENSGALG00000029675	1173	4-Mar
ENSGALG00000029675	936	4-Mar
ENSGALG00000000394	2289	SLC6A17
ENSGALG00000000394	2217	SLC6A17
ENSGALG00000000394	2334	SLC6A17
ENSGALG00000000394	2172	SLC6A17
ENSGALG00000000394	2097	SLC6A17
ENSGALG00000013784	2238	CDT1
ENSGALG00000032657	390	
ENSGALG00000011682	2485	CNOT4
ENSGALG00000034024	1710	RAPGEF5
ENSGALG00000034024	1455	RAPGEF5
ENSGALG00000015898	3860	MYO6
ENSGALG00000015898	3858	MYO6
ENSGALG00000015898	3801	MYO6
ENSGALG00000015898	3789	MYO6
ENSGALG00000035441	1170	POU4F1
ENSGALG00000035441	912	POU4F1
ENSGALG00000002069	2266	
ENSGALG00000015059	1833	
ENSGALG00000015059	1596	
ENSGALG00000015059	1452	
ENSGALG00000039121	1311	PPM1F
ENSGALG00000036567	3068	ARMC1
ENSGALG00000036567	666	ARMC1
ENSGALG00000031000	1035	APRT
ENSGALG00000038338	2062	GLYR1
ENSGALG00000038338	1794	GLYR1
ENSGALG00000008325	6630	CKAP5
ENSGALG00000020067	753	VASH2
ENSGALG00000011492	2307	XRCC5
ENSGALG00000037583	558	
ENSGALG00000000996	6926	AP3D1
ENSGALG00000000996	3681	AP3D1
ENSGALG00000007585	1137	NIT1
ENSGALG00000007585	1180	NIT1
ENSGALG00000007536	1500	
ENSGALG00000011717	2104	
ENSGALG00000006282	1131	
ENSGALG00000001501	1107	MAPK1
ENSGALG00000038385	2767	MTFR1
ENSGALG00000009807	1512	FLVCR1
ENSGALG00000010915	1141	IL6
ENSGALG00000002165	4887	UNC13B
ENSGALG00000026374	794	PFDN2
ENSGALG00000039673	2314	GALNS
ENSGALG00000016912	1904	EDNRB
ENSGALG00000016912	1562	EDNRB
ENSGALG00000033314	750	
ENSGALG00000042803	360	
ENSGALG00000011493	954	TMEM169
ENSGALG00000011493	1141	TMEM169
ENSGALG00000011722	1212	STRA8
ENSGALG00000029856	481	
ENSGALG00000038395	1591	PDE7A
ENSGALG00000038395	1507	PDE7A
ENSGALG00000009811	1251	TATDN3
ENSGALG00000015073	1907	TMEM39A
ENSGALG00000006250	581	TRAPPC2L
ENSGALG00000001034	2259	AAR2
ENSGALG00000016913	1599	
ENSGALG00000008332	3074	F2
ENSGALG00000002294	2782	SEMA6A
ENSGALG00000002294	3135	SEMA6A
ENSGALG00000002294	3084	SEMA6A
ENSGALG00000002294	2970	SEMA6A
ENSGALG00000002294	2907	SEMA6A
ENSGALG00000011497	1676	PECR
ENSGALG00000042052	2767	PPIL2
ENSGALG00000000048	4610	
ENSGALG00000000048	4276	
ENSGALG00000031729	1113	MOB3A
ENSGALG00000009814	873	NSL1
ENSGALG00000033320	1551	
ENSGALG00000033320	1419	
ENSGALG00000006242	579	
ENSGALG00000015069	2135	B4GALT4
ENSGALG00000002326	3570	
ENSGALG00000011502	1542	
ENSGALG00000035516	872	BATF3
ENSGALG00000011724	2812	WDR91
ENSGALG00000011724	1444	WDR91
ENSGALG00000003845	1377	MKNK2
ENSGALG00000007609	4185	ARHGAP19
ENSGALG00000007609	1473	ARHGAP19
ENSGALG00000007609	1553	ARHGAP19
ENSGALG00000027514	333	
ENSGALG00000027514	930	
ENSGALG00000027514	624	
ENSGALG00000025887	550	ATF3
ENSGALG00000005992	1452	PDE8A
ENSGALG00000005992	2307	PDE8A
ENSGALG00000005992	2286	PDE8A
ENSGALG00000005992	1743	PDE8A
ENSGALG00000005992	966	PDE8A
ENSGALG00000010925	3568	FAM126A
ENSGALG00000010925	1674	FAM126A
ENSGALG00000010925	1991	FAM126A
ENSGALG00000010925	1601	FAM126A
ENSGALG00000033598	3884	HIRA
ENSGALG00000036886	408	
ENSGALG00000041833	744	
ENSGALG00000042357	1810	ARHGAP1
ENSGALG00000042357	1714	ARHGAP1
ENSGALG00000022891	1402	
ENSGALG00000022891	1730	
ENSGALG00000032410	4459	CBFA2T3
ENSGALG00000032410	1737	CBFA2T3
ENSGALG00000007557	3072	RUBCN
ENSGALG00000007557	2847	RUBCN
ENSGALG00000007557	2826	RUBCN
ENSGALG00000001046	6121	DLGAP4
ENSGALG00000001046	5390	DLGAP4
ENSGALG00000001046	3791	DLGAP4
ENSGALG00000001046	1457	DLGAP4
ENSGALG00000001019	1677	BTBD2
ENSGALG00000040025	129	SCARNA4
ENSGALG00000010879	1993	FGGY
ENSGALG00000010879	1766	FGGY
ENSGALG00000010879	1956	FGGY
ENSGALG00000010879	1920	FGGY
ENSGALG00000010879	1578	FGGY
ENSGALG00000010879	1653	FGGY
ENSGALG00000010879	1488	FGGY
ENSGALG00000010879	997	FGGY
ENSGALG00000042819	630	
ENSGALG00000001841	1747	ROGDI
ENSGALG00000001841	1608	ROGDI
ENSGALG00000001841	1524	ROGDI
ENSGALG00000001841	1634	ROGDI
ENSGALG00000025620	134	SNORA58
ENSGALG00000011515	3037	ERCC3
ENSGALG00000011515	2346	ERCC3
ENSGALG00000039433	128	SCARNA15
ENSGALG00000002371	5052	RUSC2
ENSGALG00000002371	4851	RUSC2
ENSGALG00000015075	4186	
ENSGALG00000028381	73	
ENSGALG00000001587	504	MRPL40
ENSGALG00000015901	3447	SENP6
ENSGALG00000015901	3426	SENP6
ENSGALG00000015901	3027	SENP6
ENSGALG00000025499	82	gga-mir-1752
ENSGALG00000037510	1223	WBSCR22
ENSGALG00000027540	1251	CSNK1G2
ENSGALG00000000400	1836	
ENSGALG00000008347	1453	ATG13
ENSGALG00000026685	76	
ENSGALG00000009822	2248	TMEM206
ENSGALG00000009822	1779	TMEM206
ENSGALG00000009822	1071	TMEM206
ENSGALG00000011727	2028	AGBL3
ENSGALG00000027560	78	gga-mir-3536
ENSGALG00000000401	2868	RBM15
ENSGALG00000042871	6276	SLIT1
ENSGALG00000030660	591	
ENSGALG00000030660	591	
ENSGALG00000030660	525	
ENSGALG00000027697	110	gga-mir-6646-2
ENSGALG00000028411	1314	
ENSGALG00000035225	4293	ACSF3
ENSGALG00000035225	4152	ACSF3
ENSGALG00000035225	1232	ACSF3
ENSGALG00000002308	1416	COMMD10
ENSGALG00000002308	1239	COMMD10
ENSGALG00000002308	941	COMMD10
ENSGALG00000025563	93	gga-mir-1629
ENSGALG00000001473	3930	MIB2
ENSGALG00000025735	526	PDE6H
ENSGALG00000001030	862	SCAMP4
ENSGALG00000024081	1547	TGIF2
ENSGALG00000024081	1379	TGIF2
ENSGALG00000008354	1670	HARBI1
ENSGALG00000026966	110	gga-mir-6620
ENSGALG00000000417	1842	SLC16A4
ENSGALG00000028518	110	gga-mir-6662
ENSGALG00000010938	2091	KLHL7
ENSGALG00000010938	3301	KLHL7
ENSGALG00000007581	2933	FYTTD1
ENSGALG00000001866	1260	MCHR2
ENSGALG00000015077	522	ARHGAP31
ENSGALG00000015077	4452	ARHGAP31
ENSGALG00000015077	3984	ARHGAP31
ENSGALG00000001035	1398	
ENSGALG00000009821	1902	NENF
ENSGALG00000035118	1191	
ENSGALG00000011738	1332	ARHGDIB
ENSGALG00000011738	1422	ARHGDIB
ENSGALG00000000419	625	LAMTOR5
ENSGALG00000000419	562	LAMTOR5
ENSGALG00000030040	2699	CDH15
ENSGALG00000036108	798	
ENSGALG00000028567	1112	MYL9
ENSGALG00000028567	1035	MYL9
ENSGALG00000011532	1482	
ENSGALG00000011532	1527	
ENSGALG00000011532	1272	
ENSGALG00000002318	5669	LVRN
ENSGALG00000041722	1082	STX1A
ENSGALG00000041722	867	STX1A
ENSGALG00000041722	1519	STX1A
ENSGALG00000008358	2601	AMBRA1
ENSGALG00000008358	1707	AMBRA1
ENSGALG00000029827	2700	
ENSGALG00000029827	2496	
ENSGALG00000007595	5635	LRCH3
ENSGALG00000009828	2769	PPP2R5A
ENSGALG00000001593	1555	Ufd1l
ENSGALG00000001593	991	Ufd1l
ENSGALG00000021355	1674	
ENSGALG00000021355	1551	
ENSGALG00000010942	1420	NUPL2
ENSGALG00000040082	318	PROK1
ENSGALG00000043245	1707	
ENSGALG00000005996	2355	FSD2
ENSGALG00000005996	2301	FSD2
ENSGALG00000011739	564	ERP27
ENSGALG00000039001	5027	FILIP1
ENSGALG00000039001	1533	FILIP1
ENSGALG00000040780	2646	
ENSGALG00000001483	1372	
ENSGALG00000001054	2203	C20H20ORF24
ENSGALG00000028512	5275	LCOR
ENSGALG00000028512	5125	LCOR
ENSGALG00000028512	4987	LCOR
ENSGALG00000028512	1648	LCOR
ENSGALG00000015079	1305	UPK1B
ENSGALG00000006222	1071	
ENSGALG00000010870	1702	JUN
ENSGALG00000007607	1251	IQCG
ENSGALG00000008365	1590	CHRM4
ENSGALG00000042446	2083	
ENSGALG00000037713	648	FNDC10
ENSGALG00000000437	1273	
ENSGALG00000011740	685	MGP
ENSGALG00000010949	1680	GPNMB
ENSGALG00000015904	3039	TMEM30A
ENSGALG00000041327	1717	TRIM55
ENSGALG00000042168	603	
ENSGALG00000001062	1992	GGT7
ENSGALG00000011541	3554	BIN1
ENSGALG00000015084	2109	IGSF11
ENSGALG00000008367	834	MDK
ENSGALG00000001489	1576	SSU72
ENSGALG00000000441	1854	KCNA10
ENSGALG00000028560	970	OC3
ENSGALG00000027747	2106	
ENSGALG00000009837	3022	DTL
ENSGALG00000009837	2109	DTL
ENSGALG00000002006	1494	PDILT
ENSGALG00000010954	1721	
ENSGALG00000015906	959	COX7A2
ENSGALG00000000442	2263	KCNA2
ENSGALG00000027170	2085	
ENSGALG00000027170	1938	
ENSGALG00000037148	794	CRH
ENSGALG00000011742	2958	ART4
ENSGALG00000002341	1820	AP3S1
ENSGALG00000002341	1803	AP3S1
ENSGALG00000002341	1025	AP3S1
ENSGALG00000035387	519	TMEM240
ENSGALG00000010889	2946	HOOK1
ENSGALG00000030979	2071	MKS1
ENSGALG00000030979	1808	MKS1
ENSGALG00000030979	1080	MKS1
ENSGALG00000011566	863	GYPC
ENSGALG00000011566	258	GYPC
ENSGALG00000036942	1743	KCNA3
ENSGALG00000027146	1098	GPR139
ENSGALG00000030890	1014	RRS1
ENSGALG00000028363	4342	SPG7
ENSGALG00000007611	795	RPL35A
ENSGALG00000007611	277	RPL35A
ENSGALG00000007611	387	RPL35A
ENSGALG00000001616	2439	CDC45
ENSGALG00000027658	2389	TESK1
ENSGALG00000027658	2257	TESK1
ENSGALG00000000477	777	
ENSGALG00000040620	2067	LSAMP
ENSGALG00000040620	984	LSAMP
ENSGALG00000002028	1172	GPRC5B
ENSGALG00000011743	678	SMCO3
ENSGALG00000008380	4711	DGKZ
ENSGALG00000020742	5043	PPRC1
ENSGALG00000020742	5241	PPRC1
ENSGALG00000020742	5136	PPRC1
ENSGALG00000033795	303	
ENSGALG00000031860	1766	ADHFE1
ENSGALG00000010122	1362	SH2D4A
ENSGALG00000010122	1332	SH2D4A
ENSGALG00000010122	1323	SH2D4A
ENSGALG00000010122	1314	SH2D4A
ENSGALG00000010122	1284	SH2D4A
ENSGALG00000010122	1284	SH2D4A
ENSGALG00000010122	1254	SH2D4A
ENSGALG00000010122	1254	SH2D4A
ENSGALG00000010122	1185	SH2D4A
ENSGALG00000010122	1053	SH2D4A
ENSGALG00000009843	3230	INTS7
ENSGALG00000035869	3263	
ENSGALG00000035869	3290	
ENSGALG00000002345	1259	ATG12
ENSGALG00000035416	303	
ENSGALG00000006002	2331	WHAMM
ENSGALG00000006002	2226	WHAMM
ENSGALG00000006002	1863	WHAMM
ENSGALG00000001621	1758	CLDN5
ENSGALG00000001182	6332	NCOA6
ENSGALG00000001182	6263	NCOA6
ENSGALG00000001182	5359	NCOA6
ENSGALG00000001182	5989	NCOA6
ENSGALG00000005194	1539	CD72
ENSGALG00000011745	4171	WBP11
ENSGALG00000030965	270	
ENSGALG00000011577	3921	CNTNAP5
ENSGALG00000000483	783	
ENSGALG00000000483	1002	
ENSGALG00000002358	1395	CDO1
ENSGALG00000038393	935	DMB2
ENSGALG00000038393	870	DMB2
ENSGALG00000015089	983	GAP43
ENSGALG00000015089	732	GAP43
ENSGALG00000040965	270	
ENSGALG00000034224	621	
ENSGALG00000034224	609	
ENSGALG00000010961	4550	IGF2BP3
ENSGALG00000010961	2666	IGF2BP3
ENSGALG00000010961	1716	IGF2BP3
ENSGALG00000008393	1702	CREB3L1
ENSGALG00000036647	995	BCL7B
ENSGALG00000036647	687	BCL7B
ENSGALG00000021353	945	
ENSGALG00000028484	2537	
ENSGALG00000039794	447	
ENSGALG00000001527	1500	VWA1
ENSGALG00000006179	1282	RPL13
ENSGALG00000006179	549	RPL13
ENSGALG00000000497	273	
ENSGALG00000015094	2226	ZBTB20
ENSGALG00000009848	2580	LPGAT1
ENSGALG00000009848	1864	LPGAT1
ENSGALG00000027140	1521	MARVELD2
ENSGALG00000001652	1979	SEPT2L
ENSGALG00000001652	2034	SEPT2L
ENSGALG00000000162	1098	DMB1
ENSGALG00000006008	1071	HOMER2
ENSGALG00000011747	756	
ENSGALG00000001534	1833	TMEM88B
ENSGALG00000007641	1468	LDB1
ENSGALG00000007641	1182	LDB1
ENSGALG00000002383	1284	CD72AG
ENSGALG00000014589	714	
ENSGALG00000014589	675	
ENSGALG00000014589	660	
ENSGALG00000014589	660	
ENSGALG00000014589	633	
ENSGALG00000014589	624	
ENSGALG00000014589	603	
ENSGALG00000031263	2046	TBL2
ENSGALG00000031263	1973	TBL2
ENSGALG00000039722	381	HIST1H2B7
ENSGALG00000001209	348	
ENSGALG00000001209	258	
ENSGALG00000001542	909	MRPL20
ENSGALG00000000158	915	DMA
ENSGALG00000015117	1278	DRD3
ENSGALG00000015117	963	DRD3
ENSGALG00000029035	438	
ENSGALG00000002399	1646	
ENSGALG00000033191	396	
ENSGALG00000009854	1614	NEK2
ENSGALG00000000504	1080	ETV7
ENSGALG00000000504	1251	ETV7
ENSGALG00000000504	1416	ETV7
ENSGALG00000008403	2123	PHF21A
ENSGALG00000008403	3548	PHF21A
ENSGALG00000043758	1861	
ENSGALG00000043758	1891	
ENSGALG00000043758	1091	
ENSGALG00000033304	2635	MYBL1
ENSGALG00000033304	2274	MYBL1
ENSGALG00000001219	1810	PIGU
ENSGALG00000032272	459	HIST1H46L2
ENSGALG00000040221	801	
ENSGALG00000010973	2081	TRA2A
ENSGALG00000000156	7523	BRD2
ENSGALG00000006010	1472	FAM103A1
ENSGALG00000006010	1571	FAM103A1
ENSGALG00000006010	1528	FAM103A1
ENSGALG00000000507	1608	CPNE7
ENSGALG00000000507	1341	CPNE7
ENSGALG00000007645	1722	
ENSGALG00000043062	411	HIST1H3H
ENSGALG00000002386	1653	TMEM8B
ENSGALG00000016915	14070	MYCBP2
ENSGALG00000016915	14247	MYCBP2
ENSGALG00000016915	14181	MYCBP2
ENSGALG00000016915	14085	MYCBP2
ENSGALG00000016915	13983	MYCBP2
ENSGALG00000016915	13788	MYCBP2
ENSGALG00000009858	1920	SLC30A1
ENSGALG00000011592	1448	MRAS
ENSGALG00000011592	1457	MRAS
ENSGALG00000011592	1609	MRAS
ENSGALG00000007664	3220	PSMD1
ENSGALG00000007664	2892	PSMD1
ENSGALG00000007664	1270	PSMD1
ENSGALG00000007664	1281	PSMD1
ENSGALG00000001551	6564	CCNL2
ENSGALG00000001551	1581	CCNL2
ENSGALG00000029033	648	TLDC2
ENSGALG00000040303	411	HIST1H3H
ENSGALG00000010976	2226	CCDC126
ENSGALG00000037485	2175	QTRT2
ENSGALG00000037485	1278	QTRT2
ENSGALG00000011394	1677	
ENSGALG00000011394	1677	
ENSGALG00000011394	1536	
ENSGALG00000011394	1536	
ENSGALG00000011394	1677	
ENSGALG00000011394	1924	
ENSGALG00000011394	1677	
ENSGALG00000011394	1677	
ENSGALG00000011394	3013	
ENSGALG00000011394	1476	
ENSGALG00000009861	642	RD3
ENSGALG00000035445	436	HIST1H46L2
ENSGALG00000002430	1370	SMN
ENSGALG00000002430	795	SMN
ENSGALG00000034960	2802	MLXIPL
ENSGALG00000034960	3316	MLXIPL
ENSGALG00000034960	2589	MLXIPL
ENSGALG00000015908	9240	COL12A1
ENSGALG00000015908	7872	COL12A1
ENSGALG00000015908	7752	COL12A1
ENSGALG00000042883	4796	VCPIP1
ENSGALG00000025868	3495	TAF1C
ENSGALG00000010977	1029	FAM221A
ENSGALG00000026607	1147	
ENSGALG00000001688	4780	5-Sep
ENSGALG00000001688	927	5-Sep
ENSGALG00000001688	1702	5-Sep
ENSGALG00000036483	396	
ENSGALG00000030707	1411	
ENSGALG00000008418	2437	GYLTL1B
ENSGALG00000001231	3688	SAMHD1
ENSGALG00000011593	1857	TMEM177
ENSGALG00000011593	1403	TMEM177
ENSGALG00000023472	1080	
ENSGALG00000023472	1106	
ENSGALG00000030658	480	
ENSGALG00000027418	1028	HINT2
ENSGALG00000023936	1389	
ENSGALG00000043570	2381	SGK3
ENSGALG00000043142	4478	PCDHA12
ENSGALG00000043142	3009	PCDHA12
ENSGALG00000043142	2994	PCDHA12
ENSGALG00000043142	3003	PCDHA12
ENSGALG00000043142	2994	PCDHA12
ENSGALG00000043142	2988	PCDHA12
ENSGALG00000043142	2985	PCDHA12
ENSGALG00000043142	2997	PCDHA12
ENSGALG00000043142	2991	PCDHA12
ENSGALG00000043142	3000	PCDHA12
ENSGALG00000031655	1491	
ENSGALG00000015123	5582	ZDHHC23
ENSGALG00000015123	1212	ZDHHC23
ENSGALG00000006020	2272	BTBD1
ENSGALG00000006020	483	BTBD1
ENSGALG00000009864	4722	TRAF5
