am_gene_id	transcript_id	protein_id	gene_symbol	gene_name	
AMISG012706	AMIST019243|AMIST019244	AMISP019243|AMISP019244	CCSAP	centriole	
AMISG012707	AMIST019245	AMISP019245	RAB4A	RAB4A	
AMISG012708	AMIST019246|AMIST019247|AMIST019248	AMISP019246|AMISP019247|AMISP019248	AMISG012708	AMISG012708 uncharacterized protein	
AMISG012709	AMIST019249	AMISP019249	MNF1	mitochondrial nucleoid factor 1	
AMISG012710	AMIST019250|AMIST019251	AMISP019250|AMISP019251	ITPR3	inositol 1	
AMISG012711	AMIST019252|AMIST019253	AMISP019252|AMISP019253	LOC100554036L	similar to anole LOC100554036 (uncharacterized LOC100554036)	
AMISG012712	AMIST019254|AMIST019255	AMISP019254|AMISP019255	BAK1	BCL2-antagonist/killer 1	
AMISG012713	AMIST019256	AMISP019256	UNC5CL	unc-5 homolog C (C. elegans)-like	
AMISG012714	AMIST019257	AMISP019257	TSPO2	translocator protein 2	
AMISG012715	AMIST019258|AMIST019259	AMISP019258|AMISP019259	APOBEC2	apolipoprotein B mRNA editing enzyme	
AMISG012716	AMIST019260|AMIST019261	AMISP019260|AMISP019261	OARD1	O-acyl-ADP-ribose deacylase 1	
AMISG012717	AMIST019262|AMIST019263|AMIST019264|AMIST019265|AMIST019266|AMIST019267	AMISP019262|AMISP019263|AMISP019264|AMISP019265|AMISP019266|AMISP019267	NFYA	nuclear transcription factor Y	
AMISG012718	AMIST019268|AMIST019269	AMISP019268|AMISP019269	TREM2	triggering receptor expressed on myeloid cells 2	
AMISG012719	AMIST019270	AMISP019270	TREM-B2V2	triggering receptor expressed on myeloid cells	
AMISG012720	AMIST019271|AMIST019272|AMIST019273	AMISP019271|AMISP019272|AMISP019273	RASSF8	Ras association (RalGDS/AF-6) domain family (N-terminal) member 8	
AMISG012721	AMIST019274	AMISP019274	BHLHE41	basic helix-loop-helix family	
AMISG012722	AMIST019275	AMISP019275	SSPN	sarcospan	
AMISG012723	AMIST019276	AMISP019276	AMISG012723	AMISG012723 uncharacterized protein	
AMISG012724	AMIST019277	AMISP019277	AMISG012724	AMISG012724 uncharacterized protein	
AMISG012725	AMIST019278	AMISP019278	ITPR2	inositol 1	
AMISG012726	AMIST019279	AMISP019279	HENMT1	HEN1 methyltransferase homolog 1 (Arabidopsis)	
AMISG012727	AMIST019280|AMIST019281	AMISP019280|AMISP019281	FAM102B	family with sequence similarity 102	
AMISG012728	AMIST019282|AMIST019283	AMISP019282|AMISP019283	SLC25A24	solute carrier family 25 (mitochondrial carrier; phosphate carrier)	
AMISG012729	AMIST019284	AMISP019284	AMISG012729	AMISG012729 uncharacterized protein	
AMISG012730	AMIST019285	AMISP019285	AMISG012730	AMISG012730 uncharacterized protein	
AMISG012731	AMIST019286	AMISP019286	AMISG012731	AMISG012731 uncharacterized protein	
AMISG012732	AMIST019287	AMISP019287	SLC9A3R2	solute carrier family 9	
AMISG012733	AMIST019288|AMIST019289	AMISP019288|AMISP019289	AMISG012733	AMISG012733 uncharacterized protein	
AMISG012734	AMIST019290|AMIST019291|AMIST019292	AMISP019290|AMISP019291|AMISP019292	ZNF598	zinc finger protein 598	
AMISG012735	AMIST019293	AMISP019293	SYNGR3	synaptogyrin 3	
AMISG012736	AMIST019294	AMISP019294	GFER	growth factor	
AMISG012737	AMIST019295	AMISP019295	AMISG012737	AMISG012737 uncharacterized protein	
AMISG012738	AMIST019296	AMISP019296	NOXO1	NADPH oxidase organizer 1	
AMISG012739	AMIST019297	AMISP019297	TBL3	transducin (beta)-like 3	
AMISG012740	AMIST019298|AMIST019299|AMIST019300	AMISP019298|AMISP019299|AMISP019300	AMISG012740	AMISG012740 uncharacterized protein	
AMISG012741	AMIST019301|AMIST019302	AMISP019301|AMISP019302	RPS2	ribosomal protein S2	
AMISG012742	AMIST019303	AMISP019303	NDUFB10	NADH dehydrogenase (ubiquinone) 1 beta subcomplex	
AMISG012743	AMIST019304	AMISP019304	RPL3L	ribosomal protein L3-like	
AMISG012744	AMIST019305	AMISP019305	TEX2.1	testis expressed 2	
AMISG012745	AMIST019306	AMISP019306	MSRB1	methionine sulfoxide reductase B1	
AMISG012746	AMIST019307	AMISP019307	OPTN	optineurin	
AMISG012747	AMIST019308	AMISP019308	CCDC3	coiled-coil domain containing 3	
AMISG012748	AMIST019309	AMISP019309	SMNDC1	survival motor neuron domain containing 1	
AMISG012749	AMIST019310	AMISP019310	DUSP5	dual specificity phosphatase 5	
AMISG012750	AMIST019311|AMIST019312	AMISP019311|AMISP019312	SMC3	structural maintenance of chromosomes 3	
AMISG012751	AMIST019313|AMIST019314|AMIST019315	AMISP019313|AMISP019314|AMISP019315	AMISG012751	AMISG012751 uncharacterized protein	
AMISG012752	AMIST019316	AMISP019316	AMISG012752	AMISG012752 uncharacterized protein	
AMISG012753	AMIST019317|AMIST019318	AMISP019317|AMISP019318	RBM20	RNA binding motif protein 20	
AMISG012754	AMIST019319|AMIST019320	AMISP019319|AMISP019320	PDCD4	programmed cell death 4 (neoplastic transformation inhibitor)	
AMISG012755	AMIST019321	AMISP019321	BBIP1	BBSome interacting protein 1	
AMISG012756	AMIST019322	AMISP019322	SHOC2	soc-2 suppressor of clear homolog (C. elegans)	
AMISG012757	AMIST019323	AMISP019323	ADRA2A	adrenergic receptor	
AMISG012758	AMIST019324	AMISP019324	AMISG012758	AMISG012758 uncharacterized protein	
AMISG012759	AMIST019325|AMIST019326|AMIST019327	AMISP019325|AMISP019326|AMISP019327	AMISG012759	AMISG012759 uncharacterized protein	
AMISG012760	AMIST019328	AMISP019328	TRDN	triadin	
AMISG012761	AMIST019329	AMISP019329	AMISG012761	AMISG012761 uncharacterized protein	
AMISG012762	AMIST019330	AMISP019330	AMISG012762	AMISG012762 uncharacterized protein	
AMISG012763	AMIST019331	AMISP019331	NKAIN2	Na+/K+ transporting ATPase interacting 2	
AMISG012764	AMIST019332	AMISP019332	AMISG012764	AMISG012764 uncharacterized protein	
AMISG012765	AMIST019333|AMIST019334	AMISP019333|AMISP019334	ZGC:194878L	similar to zebrafish zgc:194878	
AMISG012766	AMIST019335	AMISP019335	MYLIP	myosin regulatory light chain interacting protein	
AMISG012767	AMIST019336|AMIST019337	AMISP019336|AMISP019337	SLC10A1	solute carrier family 10 (sodium/bile acid cotransporter family)	
AMISG012768	AMIST019338	AMISP019338	SRSF5	serine/arginine-rich splicing factor 5	
AMISG012769	AMIST019339|AMIST019340	AMISP019339|AMISP019340	AMISG012769	AMISG012769 uncharacterized protein	
AMISG012770	AMIST019341	AMISP019341	AMISG012770	AMISG012770 uncharacterized protein	
AMISG012771	AMIST019342|AMIST019343	AMISP019342|AMISP019343	AMISG012771	AMISG012771 uncharacterized protein	
AMISG012772	AMIST019344	AMISP019344	ATP1B1	ATPase	
AMISG012773	AMIST019345|AMIST019346	AMISP019345|AMISP019346	NME7	NME/NM23 family member 7	
AMISG012774	AMIST019347	AMISP019347	BLZF1	basic leucine zipper nuclear factor 1	
AMISG012775	AMIST019348	AMISP019348	CCDC181	coiled-coil domain containing 181	
AMISG012776	AMIST019349|AMIST019350	AMISP019349|AMISP019350	SLC19A2	solute carrier family 19 (thiamine transporter)	
AMISG012777	AMIST019351	AMISP019351	F5	coagulation factor V (proaccelerin	
AMISG012778	AMIST019352	AMISP019352	SLC35A5	solute carrier family 35	
AMISG012779	AMIST019353	AMISP019353	CCDC80	coiled-coil domain containing 80	
AMISG012780	AMIST019354|AMIST019355|AMIST019356	AMISP019354|AMISP019355|AMISP019356	AMISG012780	AMISG012780 uncharacterized protein	
AMISG012781	AMIST019357	AMISP019357	LCP2	lymphocyte cytosolic protein 2 (SH2 domain containing leukocyte protein of 76kDa)	
AMISG012782	AMIST019358|AMIST019359|AMIST019360|AMIST019361	AMISP019358|AMISP019359|AMISP019360|AMISP019361	AMISG012782	AMISG012782 uncharacterized protein	
AMISG012783	AMIST019362|AMIST019363	AMISP019362|AMISP019363	FOXI1	forkhead box I1	
AMISG012784	AMIST019364|AMIST019365|AMIST019366	AMISP019364|AMISP019365|AMISP019366	DOCK5	dedicator of cytokinesis 5	
AMISG012785	AMIST019367	AMISP019367	FAM196B	family with sequence similarity 196	
AMISG012786	AMIST019368	AMISP019368	DOCK2	dedicator of cytokinesis 2	
AMISG012787	AMIST019369	AMISP019369	CCDC99	coiled-coil domain containing 99	
AMISG012788	AMIST019370	AMISP019370	AMISG012788	AMISG012788 uncharacterized protein	
AMISG012789	AMIST019371	AMISP019371	AMISG012789	AMISG012789 uncharacterized protein	
AMISG012790	AMIST019372|AMIST019373	AMISP019372|AMISP019373	KDM4C	lysine (K)-specific demethylase 4C	
AMISG012791	AMIST019374	AMISP019374	KDM4C	lysine (K)-specific demethylase 4C	
AMISG012792	AMIST019375	AMISP019375	AMISG012792	AMISG012792 uncharacterized protein	
AMISG012793	AMIST019376	AMISP019376	CRDS2	photoreceptor outer segment membrane glycoprotein	
AMISG012794	AMIST019377|AMIST019378|AMIST019379|AMIST019380|AMIST019381	AMISP019377|AMISP019378|AMISP019379|AMISP019380|AMISP019381	UBR1	ubiquitin protein ligase E3 component n-recognin 1	
AMISG012795	AMIST019382	AMISP019382	TMEM62	transmembrane protein 62	
AMISG012796	AMIST019383|AMIST019384	AMISP019383|AMISP019384	PTGR2	prostaglandin reductase 2	
AMISG012797	AMIST019385	AMISP019385	AMISG012797	AMISG012797 uncharacterized protein	
AMISG012798	AMIST019386	AMISP019386	ELMSAN1	ELM2 and Myb/SANT-like domain containing 1	
AMISG012799	AMIST019387	AMISP019387	DNAL1	dynein	
AMISG012800	AMIST019388|AMIST019389	AMISP019388|AMISP019389	LOC423247L	similar to chicken LOC423247 (acyl-coenzyme A thioesterase 2	
AMISG012801	AMIST019390	AMISP019390	LOC771753L	similar to chicken LOC771753 (acyl-coenzyme A thioesterase 2	
AMISG012802	AMIST019391	AMISP019391	HEATR4	HEAT repeat containing 4	
AMISG012803	AMIST019392	AMISP019392	C5H14ORF169L	similar to chicken C5H14ORF169	
AMISG012804	AMIST019393|AMIST019394|AMIST019395	AMISP019393|AMISP019394|AMISP019395	NUMB	numb homolog (Drosophila)	
AMISG012805	AMIST019396|AMIST019397	AMISP019396|AMISP019397	PAPLN	papilin	
AMISG012806	AMIST019398|AMIST019399	AMISP019398|AMISP019399	PSEN1	presenilin 1	
AMISG012807	AMIST019400|AMIST019401	AMISP019400|AMISP019401	RBM25	RNA binding motif protein 25	
AMISG012808	AMIST019402	AMISP019402	ZFYVE1	zinc finger	
AMISG012809	AMIST019403|AMIST019404	AMISP019403|AMISP019404	DCAF4	DDB1 and CUL4 associated factor 4	
AMISG012810	AMIST019405|AMIST019406	AMISP019405|AMISP019406	LCORL	ligand dependent nuclear receptor corepressor-like	
AMISG012811	AMIST019407	AMISP019407	AMISG012811	AMISG012811 uncharacterized protein	
AMISG012812	AMIST019408	AMISP019408	AMISG012812	AMISG012812 uncharacterized protein	
AMISG012813	AMIST019409|AMIST019410	AMISP019409|AMISP019410	LOC769332L	similar to chicken LOC769332 (uncharacterized LOC769332)	
AMISG012814	AMIST019411	AMISP019411	FBXW7	F-box and WD repeat domain containing 7	
AMISG012815	AMIST019412|AMIST019413	AMISP019412|AMISP019413	AMISG012815	AMISG012815 uncharacterized protein	
AMISG012816	AMIST019414	AMISP019414	PRKX	protein kinase	
AMISG012817	AMIST019415	AMISP019415	AMISG012817	AMISG012817 uncharacterized protein	
AMISG012818	AMIST019416|AMIST019417|AMIST019418	AMISP019416|AMISP019417|AMISP019418	AMISG012818	AMISG012818 uncharacterized protein	
AMISG012819	AMIST019419	AMISP019419	AMISG012819	AMISG012819 uncharacterized protein	
AMISG012820	AMIST019420|AMIST019421	AMISP019420|AMISP019421	LOC100567958L	similar to anole LOC100567958 (potassium voltage-gated channel subfamily A member 4-like)	
AMISG012821	AMIST019422|AMIST019423|AMIST019424	AMISP019422|AMISP019423|AMISP019424	AMISG012821	AMISG012821 uncharacterized protein	
AMISG012822	AMIST019425	AMISP019425	AMISG012822	AMISG012822 uncharacterized protein	
AMISG012823	AMIST019426|AMIST019427	AMISP019426|AMISP019427	GALNT8	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 8 (GalNAc-T8)	
AMISG012824	AMIST019428|AMIST019429	AMISP019428|AMISP019429	AMISG012824	AMISG012824 uncharacterized protein	
AMISG012825	AMIST019430|AMIST019431	AMISP019430|AMISP019431	NDUFA9	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex	
AMISG012826	AMIST019432|AMIST019433	AMISP019432|AMISP019433	AKAP3	A kinase (PRKA) anchor protein 3	
AMISG012827	AMIST019434|AMIST019435	AMISP019434|AMISP019435	AMISG012827	AMISG012827 uncharacterized protein	
AMISG012828	AMIST019436|AMIST019437	AMISP019436|AMISP019437	ADAM23	ADAM metallopeptidase domain 23	
AMISG012829	AMIST019438|AMIST019439	AMISP019438|AMISP019439	DYTN	dystrotelin	
AMISG012830	AMIST019440	AMISP019440	MDH1B	malate dehydrogenase 1B	
AMISG012831	AMIST019441	AMISP019441	FASTKD2	FAST kinase domains 2	
AMISG012832	AMIST019442|AMIST019443	AMISP019442|AMISP019443	KLF7	Kruppel-like factor 7 (ubiquitous)	
AMISG012833	AMIST019444	AMISP019444	AMISG012833	AMISG012833 uncharacterized protein	
AMISG012834	AMIST019445	AMISP019445	PIK3CG	phosphoinositide-3-kinase	
AMISG012835	AMIST019446|AMIST019447	AMISP019446|AMISP019447	CCDC71L	coiled-coil domain containing 71-like	
AMISG012836	AMIST019448	AMISP019448	AMISG012836	AMISG012836 uncharacterized protein	
AMISG012837	AMIST019449|AMIST019450	AMISP019449|AMISP019450	EDN2	endothelin 2	
AMISG012838	AMIST019451	AMISP019451	AMISG012838	AMISG012838 uncharacterized protein	
AMISG012839	AMIST019452	AMISP019452	AMISG012839	AMISG012839 uncharacterized protein	
AMISG012840	AMIST019453	AMISP019453	AMISG012840	AMISG012840 uncharacterized protein	
AMISG012841	AMIST019454|AMIST019455	AMISP019454|AMISP019455	AMISG012841	AMISG012841 uncharacterized protein	
AMISG012842	AMIST019456	AMISP019456	AMISG012842	AMISG012842 uncharacterized protein	
AMISG012843	AMIST019457|AMIST019458	AMISP019457|AMISP019458	AMISG012843	AMISG012843 uncharacterized protein	
AMISG012844	AMIST019459	AMISP019459	FAM19A5	family with sequence similarity 19 (chemokine (C-C motif)-like)	
AMISG012845	AMIST019460	AMISP019460	AMISG012845	AMISG012845 uncharacterized protein	
AMISG012846	AMIST019461	AMISP019461	PNPLA8	patatin-like phospholipase domain containing 8	
AMISG012847	AMIST019462|AMIST019463|AMIST019464|AMIST019465|AMIST019466|AMIST019467	AMISP019462|AMISP019463|AMISP019464|AMISP019465|AMISP019466|AMISP019467	NRCAM	neuronal cell adhesion molecule	
AMISG012848	AMIST019468	AMISP019468	AMISG012848	AMISG012848 uncharacterized protein	
AMISG012849	AMIST019469	AMISP019469	CNTN1	contactin 1	
AMISG012850	AMIST019470	AMISP019470	TBCB	tubulin folding cofactor B	
AMISG012851	AMIST019471|AMIST019472|AMIST019473	AMISP019471|AMISP019472|AMISP019473	YARS	tyrosyl-tRNA synthetase	
AMISG012852	AMIST019474|AMIST019475	AMISP019474|AMISP019475	KIAA1522	KIAA1522	
AMISG012853	AMIST019476	AMISP019476	SYNC	syncoilin	
AMISG012854	AMIST019477|AMIST019478	AMISP019477|AMISP019478	RBBP4	retinoblastoma binding protein 4	
AMISG012855	AMIST019479	AMISP019479	ZBTB8OS	zinc finger and BTB domain containing 8 opposite strand	
AMISG012856	AMIST019480	AMISP019480	LOC419662L	similar to chicken LOC419662 (zinc finger and BTB domain containing 8A-like)	
AMISG012857	AMIST019481|AMIST019482	AMISP019481|AMISP019482	ZBTB8A	zinc finger and BTB domain containing 8A	
AMISG012858	AMIST019483|AMIST019484|AMIST019485	AMISP019483|AMISP019484|AMISP019485	ZBTB8B	zinc finger and BTB domain containing 8B	
AMISG012859	AMIST019486	AMISP019486	AMISG012859	AMISG012859 uncharacterized protein	
AMISG012860	AMIST019487	AMISP019487	OLIG3	oligodendrocyte transcription factor 3	
AMISG012861	AMIST019488|AMIST019489	AMISP019488|AMISP019489	BSDC1	BSD domain containing 1	
AMISG012862	AMIST019490|AMIST019491	AMISP019490|AMISP019491	TSSK3	testis-specific serine kinase 3	
AMISG012863	AMIST019492|AMIST019493	AMISP019492|AMISP019493	FAM229A	family with sequence similarity 229	
AMISG012864	AMIST019494|AMIST019495	AMISP019494|AMISP019495	KPNA6	karyopherin alpha 6 (importin alpha 7)	
AMISG012865	AMIST019496	AMISP019496	TXLNA	taxilin alpha	
AMISG012866	AMIST019497|AMIST019498	AMISP019497|AMISP019498	CCDC28B	coiled-coil domain containing 28B	
AMISG012867	AMIST019499	AMISP019499	IQCC	IQ motif containing C	
AMISG012868	AMIST019500	AMISP019500	DCDC2B	doublecortin domain containing 2B	
AMISG012869	AMIST019501	AMISP019501	TMEM234	transmembrane protein 234	
AMISG012870	AMIST019502	AMISP019502	EIF3I	eukaryotic translation initiation factor 3	
AMISG012871	AMIST019503|AMIST019504|AMIST019505	AMISP019503|AMISP019504|AMISP019505	MTMR9LP	myotubularin related protein 9-like	
AMISG012872	AMIST019506	AMISP019506	FAM167B	family with sequence similarity 167	
AMISG012873	AMIST019507	AMISP019507	LCK	lymphocyte-specific protein tyrosine kinase	
AMISG012874	AMIST019508	AMISP019508	HDAC1	histone deacetylase 1	
AMISG012875	AMIST019509	AMISP019509	MARCKSL1	MARCKS-like 1	
AMISG012876	AMIST019510	AMISP019510	AMISG012876	AMISG012876 uncharacterized protein	
AMISG012877	AMIST019511	AMISP019511	TMEM39B	transmembrane protein 39B	
AMISG012878	AMIST019512	AMISP019512	KHDRBS1	KH domain containing	
AMISG012879	AMIST019513	AMISP019513	AMISG012879	AMISG012879 uncharacterized protein	
AMISG012880	AMIST019514	AMISP019514	PTP4A2	protein tyrosine phosphatase type IVA	
AMISG012881	AMIST019515|AMIST019516|AMIST019517	AMISP019515|AMISP019516|AMISP019517	BAI2	brain-specific angiogenesis inhibitor 2	
AMISG012882	AMIST019518|AMIST019519	AMISP019518|AMISP019519	COL16A1	collagen	
AMISG012883	AMIST019520	AMISP019520	SI:DKEY-27A13.3L	similar to zebrafish si:dkey-27a13.3	
AMISG012884	AMIST019521	AMISP019521	PEF1	penta-EF-hand domain containing 1	
AMISG012885	AMIST019522|AMIST019523	AMISP019522|AMISP019523	TINAGL1	tubulointerstitial nephritis antigen-like 1	
AMISG012886	AMIST019524|AMIST019525	AMISP019524|AMISP019525	KCNQ4	potassium voltage-gated channel	
AMISG012887	AMIST019526|AMIST019527	AMISP019526|AMISP019527	NFYC	nuclear transcription factor Y	
AMISG012888	AMIST019528	AMISP019528	AMISG012888	AMISG012888 uncharacterized protein	
AMISG012889	AMIST019529	AMISP019529	TRHDE	thyrotropin-releasing hormone degrading enzyme	
AMISG012890	AMIST019530	AMISP019530	PDXK	pyridoxal (pyridoxine	
AMISG012891	AMIST019531|AMIST019532	AMISP019531|AMISP019532	AMISG012891	AMISG012891 uncharacterized protein	
AMISG012892	AMIST019533	AMISP019533	DYRK2	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 2	
AMISG012893	AMIST019534	AMISP019534	CAND1	cullin-associated and neddylation-dissociated 1	
AMISG012894	AMIST019535	AMISP019535	AMISG012894	AMISG012894 uncharacterized protein	
AMISG012895	AMIST019536	AMISP019536	MME	membrane metallo-endopeptidase	
AMISG012896	AMIST019537|AMIST019538	AMISP019537|AMISP019538	PLCH2	phospholipase C	
AMISG012897	AMIST019539	AMISP019539	SLC33A1	solute carrier family 33 (acetyl-CoA transporter)	
AMISG012898	AMIST019540	AMISP019540	GMPS	guanine monphosphate synthetase	
AMISG012899	AMIST019541|AMIST019542|AMIST019543|AMIST019544	AMISP019541|AMISP019542|AMISP019543|AMISP019544	KCNAB1	potassium voltage-gated channel	
AMISG012900	AMIST019545	AMISP019545	AMISG012900	AMISG012900 uncharacterized protein	
AMISG012901	AMIST019546	AMISP019546	SSR3	signal sequence receptor	
AMISG012902	AMIST019547	AMISP019547	AMISG012902	AMISG012902 uncharacterized protein	
AMISG012903	AMIST019548	AMISP019548	EMILIN1	elastin microfibril interfacer 1	
AMISG012904	AMIST019549	AMISP019549	LOC771089L	similar to chicken LOC771089 (RPE-spondin-like)	
AMISG012905	AMIST019550|AMIST019551|AMIST019552	AMISP019550|AMISP019551|AMISP019552	STAU1	staufen	
AMISG012906	AMIST019553	AMISP019553	CSE1L	CSE1 chromosome segregation 1-like (yeast)	
AMISG012907	AMIST019554	AMISP019554	AMISG012907	AMISG012907 uncharacterized protein	
AMISG012908	AMIST019555|AMIST019556	AMISP019555|AMISP019556	AMISG012908	AMISG012908 uncharacterized protein	
AMISG012909	AMIST019557	AMISP019557	AMISG012909	AMISG012909 uncharacterized protein	
AMISG012910	AMIST019558	AMISP019558	AMISG012910	AMISG012910 uncharacterized protein	
AMISG012911	AMIST019559	AMISP019559	SUCLG1	succinate-CoA ligase	
AMISG012912	AMIST019560	AMISP019560	AMISG012912	AMISG012912 uncharacterized protein	
AMISG012913	AMIST019561|AMIST019562|AMIST019563	AMISP019561|AMISP019562|AMISP019563	PCGF5	polycomb group ring finger 5	
AMISG012914	AMIST019564	AMISP019564	AMISG012914	AMISG012914 uncharacterized protein	
AMISG012915	AMIST019565	AMISP019565	ILLR2	immune-related	
AMISG012916	AMIST019566	AMISP019566	AMISG012916	AMISG012916 uncharacterized protein	
AMISG012917	AMIST019567	AMISP019567	AP5S1	adaptor-related protein complex 5	
AMISG012918	AMIST019568|AMIST019569|AMIST019570|AMIST019571	AMISP019568|AMISP019569|AMISP019570|AMISP019571	CD207	CD207 molecule	
AMISG012919	AMIST019572|AMIST019573	AMISP019572|AMISP019573	CDC25B	cell division cycle 25B	
AMISG012920	AMIST019574	AMISP019574	AMISG012920	AMISG012920 uncharacterized protein	
AMISG012921	AMIST019575|AMIST019576|AMIST019577	AMISP019575|AMISP019576|AMISP019577	SPEF1	sperm flagellar 1	
AMISG012922	AMIST019578	AMISP019578	AMISG012922	AMISG012922 uncharacterized protein	
AMISG012923	AMIST019579	AMISP019579	AMISG012923	AMISG012923 uncharacterized protein	
AMISG012924	AMIST019580|AMIST019581	AMISP019580|AMISP019581	PIK3R1	phosphoinositide-3-kinase	
AMISG012925	AMIST019582|AMIST019583|AMIST019584	AMISP019582|AMISP019583|AMISP019584	FMN1	formin 1	
AMISG012926	AMIST019585|AMIST019586	AMISP019585|AMISP019586	GREM1	gremlin 1	
AMISG012927	AMIST019587	AMISP019587	SCG5	secretogranin V (7B2 protein)	
AMISG012928	AMIST019588|AMIST019589|AMIST019590	AMISP019588|AMISP019589|AMISP019590	ARHGAP11A.1	Rho GTPase activating protein 11A	
AMISG012929	AMIST019591|AMIST019592	AMISP019591|AMISP019592	RASGRP1	RAS guanyl releasing protein 1 (calcium and DAG-regulated)	
AMISG012930	AMIST019593|AMIST019594	AMISP019593|AMISP019594	FAM98B	family with sequence similarity 98	
AMISG012931	AMIST019595	AMISP019595	SPRED1	sprouty-related	
AMISG012932	AMIST019596	AMISP019596	AMISG012932	AMISG012932 uncharacterized protein	
AMISG012933	AMIST019597|AMIST019598	AMISP019597|AMISP019598	AMISG012933	AMISG012933 uncharacterized protein	
AMISG012934	AMIST019599|AMIST019600	AMISP019599|AMISP019600	LOC100561915L	similar to anole LOC100561915 (c-type lectin domain family 2 member D-like)	
AMISG012935	AMIST019601	AMISP019601	AMISG012935	AMISG012935 uncharacterized protein	
AMISG012936	AMIST019602	AMISP019602	AMISG012936	AMISG012936 uncharacterized protein	
AMISG012937	AMIST019603	AMISP019603	BARX1	BARX homeobox 1	
AMISG012938	AMIST019604	AMISP019604	AMISG012938	AMISG012938 uncharacterized protein	
AMISG012939	AMIST019605	AMISP019605	DEPDC1B	DEP domain containing 1B	
AMISG012940	AMIST019606|AMIST019607	AMISP019606|AMISP019607	SLC30A9	solute carrier family 30 (zinc transporter)	
AMISG012941	AMIST019608	AMISP019608	TMEM33	transmembrane protein 33	
AMISG012942	AMIST019609	AMISP019609	AMISG012942	AMISG012942 uncharacterized protein	
AMISG012943	AMIST019610|AMIST019611|AMIST019612|AMIST019613|AMIST019614	AMISP019610|AMISP019611|AMISP019612|AMISP019613|AMISP019614	NOX4	NADPH oxidase 4	
AMISG012944	AMIST019615	AMISP019615	AMISG012944	AMISG012944 uncharacterized protein	
AMISG012945	AMIST019616	AMISP019616	AMISG012945	AMISG012945 uncharacterized protein	
AMISG012946	AMIST019617|AMIST019618	AMISP019617|AMISP019618	CHCHD10	coiled-coil-helix-coiled-coil-helix domain containing 10	
AMISG012947	AMIST019619	AMISP019619	MMP11	matrix metallopeptidase 11 (stromelysin 3)	
AMISG012948	AMIST019620	AMISP019620	MMP11	matrix metallopeptidase 11 (stromelysin 3)	
AMISG012949	AMIST019621	AMISP019621	DERL3	Der1-like domain family	
AMISG012950	AMIST019622|AMIST019623	AMISP019622|AMISP019623	SLC2A11	solute carrier family 2 (facilitated glucose transporter)	
AMISG012951	AMIST019624|AMIST019625	AMISP019624|AMISP019625	LOC769577L	similar to chicken LOC769577 (uncharacterized LOC769577)	
AMISG012952	AMIST019626	AMISP019626	LOC100553605L	similar to anole LOC100553605 (solute carrier family 2	
AMISG012953	AMIST019627	AMISP019627	LOC100553605L	similar to green anole LOC100553605 (solute carrier family 2	
AMISG012954	AMIST019628	AMISP019628	AMISG012954	AMISG012954 uncharacterized protein	
AMISG012955	AMIST019629	AMISP019629	AMISG012955	AMISG012955 uncharacterized protein	
AMISG012956	AMIST019630	AMISP019630	MIF	macrophage migration inhibitory factor (glycosylation-inhibiting factor)	
AMISG012957	AMIST019631	AMISP019631	DDX51	DEAD (Asp-Glu-Ala-Asp) box polypeptide 51	
AMISG012958	AMIST019632	AMISP019632	GSTT1	glutathione S-transferase theta 1	
AMISG012959	AMIST019633	AMISP019633	GSTT1	glutathione S-transferase theta 1	
AMISG012960	AMIST019634	AMISP019634	DDT	D-dopachrome tautomerase	
AMISG012961	AMIST019635|AMIST019636	AMISP019635|AMISP019636	LOC100557990L	similar to green anole LOC100557990 (uncharacterized protein CXorf57-like)	
AMISG012962	AMIST019637	AMISP019637	AMISG012962	AMISG012962 uncharacterized protein	
AMISG012963	AMIST019638	AMISP019638	AMISG012963	AMISG012963 uncharacterized protein	
AMISG012964	AMIST019639|AMIST019640	AMISP019639|AMISP019640	AMISG012964	AMISG012964 uncharacterized protein	
AMISG012965	AMIST019641	AMISP019641	DIO3	deiodinase	
AMISG012966	AMIST019642|AMIST019643	AMISP019642|AMISP019643	AMISG012966	AMISG012966 uncharacterized protein	
AMISG012967	AMIST019644	AMISP019644	AMISG012967	AMISG012967 uncharacterized protein	
AMISG012968	AMIST019645	AMISP019645	AMISG012968	AMISG012968 uncharacterized protein	
AMISG012969	AMIST019646|AMIST019647	AMISP019646|AMISP019647	CCDC50	coiled-coil domain containing 50	
AMISG012970	AMIST019648	AMISP019648	AMISG012970	AMISG012970 uncharacterized protein	
AMISG012971	AMIST019649|AMIST019650|AMIST019651	AMISP019649|AMISP019650|AMISP019651	SCO1	SCO cytochrome oxidase deficient homolog 1 (yeast)	
AMISG012972	AMIST019652	AMISP019652	ADPRM	ADP-ribose/CDP-alcohol diphosphatase	
AMISG012973	AMIST019653|AMIST019654	AMISP019653|AMISP019654	TMEM220	transmembrane protein 220	
AMISG012974	AMIST019655|AMIST019656	AMISP019655|AMISP019656	AMISG012974	AMISG012974 uncharacterized protein	
AMISG012975	AMIST019657|AMIST019658	AMISP019657|AMISP019658	AMISG012975	AMISG012975 uncharacterized protein	
